filename,number_of_neutrons,mean_emissions,emissions_per_neutron,emissions_per_neutron_err,emissions_err,mean_duration,duration_err,duration_per_neutron,duration_per_neutron_err,cpu_power,cpu_power_err,ram_power,ram_power_err,gpu_power,gpu_power_err,cpu_energy,cpu_energy_err,ram_energy,ram_energy_err,gpu_energy,gpu_energy_err,cpu_energy_per_neutron,cpu_energy_per_neutron_err,ram_energy_per_neutron,ram_energy_per_neutron_err,gpu_energy_per_neutron,gpu_energy_per_neutron_err,cpu_energy_over_power,gpu_energy_over_power,ram_energy_over_power,cpu_energy_over_power_err,ram_energy_over_power_err,gpu_energy_over_power_err
data\20250807-16-10_mac_emissions_10000neutrons_8runs.csv,10000,1.3785017812230606e-06,1.3785017812230605e-10,4.535889015904812e-12,4.5358890159048125e-08,9.590073869750086,0.014396622530082741,0.0009590073869750086,1.4396622530082742e-06,0.20806249999999998,0.10465065684303453,3.0,0.0,0.007925,0.0021774616611353425,3.760384438048005e-07,1.8906342404590488e-07,5.408365980833499e-06,8.830957316757643e-09,1.7639361997701146e-08,4.843649906440033e-09,3.760384438048005e-11,1.8906342404590488e-11,5.408365980833499e-10,8.830957316757643e-13,1.7639361997701146e-12,4.843649906440034e-13,6.506402632369033,8.012833210312193,6.490039177000199,4.627193478230706,0.01059714878010917,3.11258843345275
data\20250807-16-10_mac_emissions_1000neutrons_8runs.csv,1000,5.701803087993941e-07,5.701803087993941e-10,6.237532201031804e-11,6.237532201031804e-08,5.417494047125274,0.018092923562663357,0.005417494047125274,1.8092923562663357e-05,0.63525,0.38607012408924585,3.0,0.0,0.009512499999999962,0.0012287388278812044,4.2147632496605404e-07,2.582764775482951e-07,1.9681591580213837e-06,1.338804114760074e-08,1.0224396044815937e-08,1.3199810845578006e-09,4.2147632496605405e-10,2.5827647754829513e-10,1.9681591580213835e-09,1.338804114760074e-11,1.0224396044815937e-11,1.3199810845578006e-12,2.3885317117320652,3.8694166371971117,2.36179098962566,2.061436800709368,0.01606564937712089,0.7066559213784727
data\20250807-16-10_mac_emissions_11000neutrons_8runs.csv,11000,1.4936339842134909e-06,1.357849076557719e-10,7.72347053613526e-12,8.495817589748785e-08,9.953857338499802,0.027576980278833207,0.0009048961216818001,2.5069982071666553e-06,0.2527,0.15956713768370798,3.0,0.0,0.026712499999999986,0.02066408580035143,4.849973685009323e-07,3.0702657990053985e-07,5.739156544896106e-06,1.6784173213158186e-08,6.247545165559904e-08,4.834038036813768e-08,4.409066986372112e-11,2.791150726368544e-11,5.217415040814642e-10,1.525833928468926e-12,5.679586514145367e-12,4.394580033467062e-12,6.909341221224205,8.419714589055936,6.886987853875326,6.177883810088295,0.020141007855789823,9.21220372325401
data\20250807-16-10_mac_emissions_12000neutrons_8runs.csv,12000,1.4780306503948492e-06,1.2316922086623743e-10,7.026024581311294e-13,8.431229497573553e-09,10.356205812376174,0.018603971295017452,0.0008630171510313479,1.5503309412514543e-06,0.0658125,0.013685451575356528,3.0,0.0,0.00558749999999995,0.000836966781214858,1.3347693428066092e-07,2.7796538849329153e-08,6.073813650104589e-06,1.511988755238455e-08,1.366514334141074e-08,2.0491626690011415e-09,1.1123077856721743e-11,2.3163782374440963e-12,5.061511375087157e-10,1.259990629365379e-12,1.1387619451175618e-12,1.7076355575009511e-13,7.301302388001965,8.804387656211025,7.288576380125506,2.148736621931834,0.01814386506286146,1.8661250669337084
data\20250807-16-10_mac_emissions_13000neutrons_8runs.csv,13000,1.5761397156270583e-06,1.2124151658669678e-10,9.337886485197195e-13,1.2139252430756353e-08,10.780792192999797,0.027298102553838043,0.0008292917071538306,2.0998540426029265e-06,0.0852375,0.01677585358164696,3.0,0.0,0.009274999999999974,0.004705078942711031,1.8308145475972926e-07,3.6136617367737873e-08,6.4271340280208735e-06,2.5213233397385183e-08,2.367630356917889e-08,1.1964892497336452e-08,1.4083188827671481e-11,2.779739797518298e-12,4.943949252323749e-10,1.9394794921065525e-12,1.8212541207060684e-12,9.20376345948958e-13,7.73243275712011,9.18972429639291,7.712560833625048,2.1553141551246835,0.03025588007686222,6.580259355793158
data\20250807-16-10_mac_emissions_14000neutrons_8runs.csv,14000,1.6926836821964903e-06,1.209059772997493e-10,2.9559866573099783e-12,4.13838132023397e-08,11.175884067749848,0.02119925491815974,0.0007982774334107035,1.5142324941542671e-06,0.15462499999999998,0.0768349477544468,3.0,0.0,0.004812499999999975,0.0013844077511443469,3.487891606663568e-07,1.7326743925235466e-07,6.7627461805204804e-06,1.7919455656316447e-08,1.28840645789611e-08,3.7172959906060485e-09,2.4913511476168344e-11,1.2376245660882476e-11,4.830532986086057e-10,1.2799611183083176e-12,9.2029032706865e-13,2.655211421861463e-13,8.120556044616876,9.637949607119003,8.115295416624576,5.705810018310556,0.021503346787579737,3.9267600019687814
data\20250807-16-10_mac_emissions_15000neutrons_8runs.csv,15000,1.7366054059989276e-06,1.1577369373326184e-10,1.5789775766111578e-12,2.3684663649167366e-08,11.549972604125287,0.019495057133800026,0.0007699981736083524,1.2996704755866683e-06,0.09594999999999998,0.040560611611336846,3.0,0.0,0.005112500000000001,0.0013634826076736628,2.2656029240697608e-07,9.612704191421661e-08,7.068505503333426e-06,1.1779362028297257e-08,1.4217908466979403e-08,3.79987219971414e-09,1.5104019493798406e-11,6.408469460947774e-12,4.712337002222285e-10,7.852908018864838e-13,9.478605644652936e-13,2.5332481331427604e-13,8.500438276864138,10.011632367946374,8.482206604000112,5.091179891873517,0.014135234433956709,3.780029198699814
data\20250807-16-10_mac_emissions_2000neutrons_8runs.csv,2000,6.465817015729869e-07,3.2329085078649345e-10,1.2967701473366748e-11,2.5935402946733496e-08,6.056578468374482,0.038944206128481276,0.003028289234187241,1.9472103064240637e-05,0.18720000000000003,0.07986272597401119,3.0,0.0,0.04788749999999997,0.02452536178195369,1.5797270888322244e-07,6.768940703410045e-08,2.5030450302081894e-06,2.6423798453552405e-08,6.04117108115166e-08,3.11022954785721e-08,7.898635444161122e-11,3.384470351705022e-11,1.2515225151040947e-09,1.3211899226776203e-11,3.02058554057583e-11,1.555114773928605e-11,3.037936709292739,4.541522504233043,3.003654036249827,1.8368947097044233,0.031708558144262884,3.298008256424698
data\20250807-16-10_mac_emissions_3000neutrons_8runs.csv,3000,7.023727389200513e-07,2.341242463066838e-10,1.7209486117964256e-12,5.1628458353892765e-09,6.532985239624395,0.01341515210287838,0.002177661746541465,4.471717367626127e-06,0.05682499999999999,0.01283528548850505,3.0,0.0,0.0056249999999999755,0.0012867109232457732,5.508970016616927e-08,1.2571014992599166e-08,2.893369405520616e-06,1.0993123766382822e-08,7.791978833336644e-09,1.7835408749756243e-09,1.836323338872309e-11,4.190338330866389e-12,9.64456468506872e-10,3.664374588794274e-12,2.5973262777788814e-12,5.945136249918747e-13,3.4900645947771127,4.986866453335474,3.4720432866247393,1.1205798050293274,0.013191748519659386,1.6137626586149654
data\20250807-16-10_mac_emissions_4000neutrons_8runs.csv,4000,8.348305954934717e-07,2.0870764887336793e-10,5.768528923417818e-12,2.3074115693671272e-08,7.008690015625234,0.023242702896807237,0.0017521725039063086,5.8106757242018096e-06,0.2024375,0.09035845667099615,3.0,0.0,0.0053125,0.0010807466830192645,2.2139324127296706e-07,9.876107369489828e-08,3.28433612843772e-06,1.4303226281267739e-08,8.030086718153459e-09,1.6165429401282915e-09,5.534831031824177e-11,2.469026842372457e-11,8.210840321094301e-10,3.5758065703169347e-12,2.007521679538365e-12,4.0413573503207286e-13,3.9370949976297944,5.441564646654578,3.941203354125264,2.484508983066226,0.017163871537521285,1.557387694161657
data\20250807-16-10_mac_emissions_5000neutrons_8runs.csv,5000,8.916910184335324e-07,1.7833820368670648e-10,2.2181271087087347e-12,1.1090635543543674e-08,7.433550244749767,0.0172184934022778,0.0014867100489499535,3.4436986804555598e-06,0.08588749999999996,0.034826941733889206,3.0,0.0,0.00475,0.0016465331544100253,1.0460311467799454e-07,4.254046868019529e-08,3.6407201476041946e-06,1.2655375615207466e-08,7.758818258292194e-09,2.6866641050917305e-09,2.0920622935598908e-11,8.508093736039059e-12,7.281440295208389e-10,2.5310751230414934e-12,1.5517636516584387e-12,5.373328210183461e-13,4.384470532275134,5.880367522074084,4.368864177125034,2.5179934790940357,0.015186450738248961,2.8811569805502764
data\20250807-16-10_mac_emissions_6000neutrons_8runs.csv,6000,9.681597952617957e-07,1.6135996587696595e-10,7.669818938006922e-13,4.6018913628041534e-09,7.887212718749652,0.025722898942572552,0.001314535453124942,4.287149823762092e-06,0.041249999999999995,0.004461341886537214,3.0,0.0,0.004049999999999988,0.0011883361717724727,5.523624777975339e-08,5.969142563326409e-09,4.012565117187327e-06,1.8104170641985282e-08,7.133902498146174e-09,2.079220853951418e-09,9.206041296625566e-12,9.948570938877349e-13,6.687608528645545e-10,3.0173617736642138e-12,1.188983749691029e-12,3.4653680899190297e-13,4.820617988051206,6.341246665018841,4.8150781406247924,0.7370253989356963,0.021725004770382337,2.6225476963233474
data\20250807-16-10_mac_emissions_7000neutrons_8runs.csv,7000,1.1170254010245235e-06,1.5957505728921764e-10,5.288814220457041e-12,3.702169954319928e-08,8.318607416749273,0.017376079224459322,0.001188372488107039,2.4822970320656173e-06,0.22821249999999998,0.10785101237603527,3.0,0.0,0.003824999999999975,0.0009707784063758886,3.3176485353136857e-07,1.5587642286353392e-07,4.3625414191664426e-06,1.520224952782921e-08,7.196747326363416e-09,1.8284398703450272e-09,4.73949790759098e-11,2.2268060409076274e-11,6.232202027380633e-10,2.1717499325470298e-12,1.0281067609090594e-12,2.612056957635753e-13,5.233514696666163,6.773409248342083,5.2350497029997305,3.4876233014516718,0.018242699433395054,2.432422329977951
data\20250807-16-10_mac_emissions_8000neutrons_8runs.csv,8000,1.2629471844634247e-06,1.578683980579281e-10,9.8931974303069e-12,7.91455794424552e-08,8.749646161500095,0.01968948080156955,0.001093705770187512,2.4611851001961936e-06,0.368675,0.21440494043315056,3.0,0.0,0.0044625,0.0015321480602642256,5.797619407128161e-07,3.358256521067015e-07,4.727033055521208e-06,1.4116816876825357e-08,8.885378124319689e-09,3.023938232082535e-09,7.247024258910201e-11,4.197820651333769e-11,5.90879131940151e-10,1.7646021096031697e-12,1.110672265539961e-12,3.779922790103169e-13,5.661200207679224,7.168036133904959,5.67243966662545,4.646788015126116,0.016940180252190427,3.465240344044149
data\20250807-16-10_mac_emissions_9000neutrons_8runs.csv,9000,1.2219521064578427e-06,1.3577245627309364e-10,2.803037344061289e-13,2.52273360965516e-09,9.170419974125252,0.012439701091203303,0.0010189355526805837,1.3821890101337004e-06,0.0385625,0.005855886461501794,3.0,0.0,0.002474999999999975,0.0008520458572501357,6.519436654106759e-08,9.812427461303135e-09,5.072709605208274e-06,1.1115440806973317e-08,5.230207265017876e-09,1.7992011132458802e-09,7.243818504563065e-12,1.0902697179225706e-12,5.636344005786971e-10,1.2350489785525908e-12,5.811341405575418e-13,1.999112348050978e-13,6.086216390219599,7.607574203662442,6.087251526249929,1.301271435225831,0.01333852896836798,3.702418822968198
